Agency,Bush,Obama,Trump,Agency Name
DJ,0.021247429746401644,0.014255167498218105,0.025592417061611375,DJ-DEPARTMENT OF JUSTICE
HS,,0.009523809523809525,0.019630484988452657,HS-DEPARTMENT OF HOMELAND SECURITY
SE,0.015841584158415842,0.012738853503184714,0.01779603011635866,SE-SECURITIES AND EXCHANGE COMMISSION
SZ,0.012728719172633254,0.008795669824086604,0.01534330648254699,SZ-SOCIAL SECURITY ADMINISTRATION
