Education Category,Bush,Obama,Trump
00-No college,0.01763394765045071,0.020449761530468145,0.024030500786174462
01-Some college,0.017910073586881185,0.019861497822517313,0.025866162151106306
02-Bachelor's degree only,0.015506849719297987,0.016134174732751413,0.019537125304522826
03-Post-bachelor's degree,0.019489575974931624,0.016742703398257005,0.02082641219799984
04-Doctorate,0.01732600373024443,0.014326092848569326,0.01780735677668855
