subset,q1,q2,q1_count,q1_unique_name_count,prop_missing_by_id,prop_missing_by_name,approach_diff
named_only,201103,201106,712303,677622,0.015313707790083675,0.015299090053156439,1.4617736927236002e-05
overall,201103,201106,1154215,677622,0.015064784290621747,0.015299090053156439,0.00023430576253469226
named_only,201106,201109,714298,679644,0.018651879187677967,0.018596500520860926,5.5378666817040845e-05
overall,201106,201109,1155479,679644,0.018231400137951437,0.018596500520860926,0.000365100382909489
named_only,201109,201112,715170,680635,0.021441055972705736,0.021327143035547724,0.00011391293715801165
overall,201109,201112,1155945,680635,0.021805535730506254,0.021327143035547724,0.0004783926949585293
named_only,201112,201203,711650,677613,0.015509028314480422,0.015501473554964229,7.554759516192888e-06
overall,201112,201203,1149554,677613,0.014780514877943962,0.015501473554964229,0.000720958677020267
named_only,201203,201206,712281,678332,0.017971839765485775,0.017914531527334687,5.73082381510881e-05
overall,201203,201206,1149807,678332,0.018091731916747733,0.017914531527334687,0.00017720038941304583
named_only,201206,201209,715304,681426,0.01651745271940319,0.016571131714962495,5.367899555930311e-05
overall,201206,201209,1152523,681426,0.01598145980600818,0.016571131714962495,0.0005896719089543145
named_only,201209,201212,719432,685307,0.0173386782906515,0.01732654124355948,1.2137047092020126e-05
overall,201209,201212,1157761,685307,0.017228944488542952,0.01732654124355948,9.759675501652687e-05
named_only,201212,201303,721404,687190,0.019875132380746452,0.019875143701159836,1.1320413384474648e-08
overall,201212,201303,1159203,687190,0.01944611944586061,0.019875143701159836,0.0004290242552992263
named_only,201303,201306,719359,685425,0.01809110610974496,0.01811284969179705,2.1743582052091703e-05
overall,201303,201306,1155978,685425,0.018042730917024352,0.01811284969179705,7.011877477269834e-05
named_only,201306,201309,720695,686885,0.016898965581834235,0.01694461227134092,4.564668950668427e-05
overall,201306,201309,1154878,686885,0.016190454749332783,0.01694461227134092,0.0007541575220081365
named_only,201309,201312,722175,688358,0.015468549866722081,0.015451262279221,1.728758750108028e-05
overall,201309,201312,1155550,688358,0.015555363246938736,0.015451262279221,0.00010410096771773514
named_only,201312,201403,723318,689551,0.02046264575193757,0.02039588079779453,6.676495414303929e-05
overall,201312,201403,1156002,689551,0.020204117293914692,0.02039588079779453,0.0001917635038798382
named_only,201403,201406,719171,685946,0.019568364130366778,0.019584632026427684,1.6267896060906395e-05
overall,201403,201406,1147572,685946,0.020152112460046112,0.019584632026427684,0.000567480433618428
named_only,201406,201409,722616,689321,,0.8719043812679435,
overall,201406,201409,1150377,689321,,0.8719043812679435,
named_only,201409,201412,846887,637067,,0.016623055345827087,
overall,201409,201412,1155736,637067,,0.016623055345827087,
named_only,201412,201503,851001,640182,,0.02118147651761526,
overall,201412,201503,1161936,640182,,0.02118147651761526,
named_only,201503,201506,848720,639411,,0.018662487820822582,
overall,201503,201506,1158255,639411,,0.018662487820822582,
named_only,201506,201509,854948,643784,,0.01865843202067774,
overall,201506,201509,1165594,643784,,0.01865843202067774,
named_only,201509,201512,860892,646753,,0.01656892198412685,
overall,201509,201512,1172857,646754,,0.016570442548480613,
named_only,201512,201603,864805,651959,,0.02065007155357934,
overall,201512,201603,1177705,651959,,0.02065007155357934,
named_only,201603,201606,862762,651722,,0.018188736915433212,
overall,201603,201606,1175685,651722,,0.018188736915433212,
named_only,201606,201609,867351,655678,,0.0174963930465869,
overall,201606,201609,1181809,655678,,0.0174963930465869,
named_only,201609,201612,871522,658479,,0.02226342829460015,
overall,201609,201612,1189171,658480,,0.02226491313327661,
named_only,201612,201703,899721,677728,,0.022025060201142588,
overall,201612,201703,1197974,677728,,0.022025060201142588,
