PATCO,Bush,Obama,Trump
P,0.017257324329511943,0.015757499357578874,0.019627900762402613
A,0.015155995859825522,0.01703164114476444,0.020283039511742918
T,0.01805160931800052,0.018944778340274488,0.02446141590468274
C,0.02038036749046605,0.019713789828732356,0.029210781007126728
B,0.017833773831823663,0.024339192271568496,0.03081710199563175
